,asset,price,lqdt,divd,dy,dy3ac,dy6ac,dy12ac,dy3m,dy6m,dy12m,dyy,price_delta,profitability,profitability_ac,liq_patr,vpa,pvp,dyp,patr_delta,sector_none,sector_hosp,sector_hotel,sector_hbd,sector_corp,sector_log,sector_other,sector_resd,sector_shop,sector_title
80,KNSC11,92.8,42648.0,1.09,1.15858843537415,3.79596748620215,7.25777648248077,14.8309933701713,1.26532249540072,1.20962941374679,1.23591611418094,7.25777648248077,-0.0955718381650206,1.06190931294468,1.65633018975455,1187259742.46,89.430413,1.037678311963068,1.50955357882558,-0.597642935688958,0,0,0,0,0,0,0,0,0,1
81,MFII11,93.37,3435.0,1.1,1.15606936416185,3.3446700676711,6.64074093238932,13.1143347197804,1.11489002255703,1.10679015539822,1.09286122664836,6.64074093238932,-3.10590631364562,-1.98574338085539,-7.80401478503489,424973878.67,102.479896,0.9111055303959326,1.07338126104265,-2.15062227416928,0,0,0,1,0,0,0,0,0,0
82,MCHF11,9.4,116329.0,0.11,1.1482254697286,3.34508866057941,6.69999104766376,0.0,1.11502955352647,1.11666517461063,0.0,5.50833265640259,-3.52467270896274,-2.41691842900303,-0.202638666518451,315930781.84,9.778824,0.9612607814600201,1.12487963787875,-4.37909389567013,0,0,0,0,0,0,0,0,0,1
83,RECR11,98.67,65799.0,1.15,1.14656031904287,4.3354246050092,7.89231622773016,14.7545792835327,1.44514153500307,1.31538603795503,1.22954827362772,7.89231622773017,-1.66666666666667,-0.539215686274508,5.52462665786246,2310672803.11,95.250361,1.0359015857168248,1.80629236670295,-0.0492784046964068,0,0,0,0,0,0,0,0,0,1
84,OUFF11,63.5,2652.0,0.7500001322,1.14521321148267,3.28399262030966,6.2961865911938,11.6755984365977,1.09466420676989,1.04936443186563,0.97296653638314,5.36017075967661,0.629993853718491,1.78242183804547,5.49238961308973,143370322.13,79.020822,0.8035856675851841,0.949117097516399,-0.76611853473092,0,0,0,0,0,0,0,0,0,1
85,NAVT11,72.43,2065.0,0.85,1.14339521119182,3.44156562090822,6.31340223706859,10.7837333586559,1.14718854030274,1.0522337061781,0.898644446554655,5.5132955561778,1.83561643835617,3.0,7.93006279220825,95026051.4,90.114197,0.8037579250692319,0.94324759948757,-0.934315958465759,0,0,0,0,0,0,0,0,0,1
86,JSAF11,79.02,1367.0,0.93,1.13817158242565,3.32775627264086,0.0,0.0,1.10925209088029,0.0,0.0,6.62123325667231,-3.301775147929,-2.20118343195266,5.68137011916778,153333807.55,97.475668,0.8106638468997206,0.954084254134068,-0.290701120808712,0,0,0,0,0,0,0,0,0,1
87,HGCR11,104.3,16886.0,1.2,1.13765642775882,3.26205497010326,6.23461283515655,11.505710950486,1.08735165670109,1.03910213919276,0.95880924587383,6.23461283515656,-0.509337860780978,0.622524052065665,6.42900447098851,1504251061.11,102.560633,1.0169594019568893,1.12128793120846,0.0401152923999115,0,0,0,0,0,0,0,0,0,1
88,EQIR11,96.99,1.0,1.1,1.1340206185567,3.34374482554101,0.0,0.0,1.11458160851367,0.0,0.0,5.49081886683679,-2.64953833801687,-1.54556403050985,4.53505248738932,51240359.56,101.970865,0.951154037969571,1.07873950073877,0.326965532425683,0,0,0,0,0,0,0,0,0,1
89,CYCR11,101.93,1002.0,1.15,1.12745098039216,3.79669662836121,7.2398784290375,0.0,1.26556554278707,1.20664640483958,0.0,7.2398784290375,-1.35396518375243,-0.24177949709866,8.71928792366054,72344443.12,97.756684,1.0426908506839287,1.38097973945188,1.7010705233043,0,0,0,0,0,0,0,0,0,1
