# PORTIFOLIO ALLOCATION PROBLEM - DATA
param n_assets := 250;
param asset_data: price	lqdt	divd	dy	dy3ac	dy6ac	dy12ac	dy3m	dy6m	dy12m	dyy	price_delta	profitability	profitability_ac	liq_patr	vpa	pvp	dyp	patr_delta	sector_none	sector_hosp	sector_hotel	sector_hbd	sector_corp	sector_log	sector_other	sector_resd	sector_shop	sector_title :=
132 110.79	30.0	0.99	0.884007500669703	2.68778676946335	5.74100366903527	10.6740153623667	0.89592892315445	0.956833944839212	0.889501280197222	4.66991362164191	1.30257801899594	2.19810040705564	10.137379397917	31666498.37	113.927954	0.9724566808247957	0.868970226569679	1.53870757932195	0	0	0	0	0	0	0	0	0	1 #HGIC11
133 81.5	3284.0	0.74	0.880952380952381	2.54296413046723	4.83339091489639	9.21251694836664	0.847654710155743	0.805565152482732	0.76770974569722	4.08894517801143	-1.46627565982405	-0.598240469208211	1.0058954737427	389494590.19	104.72993	0.7781920602830538	0.706579293999337	-0.173838516640012	0	0	0	0	0	0	0	0	0	1 #BCIA11
134 36.99	855.0	0.341472868443329	0.875122676687158	2.59959240825342	5.14483682617997	11.9435231301128	0.866530802751141	0.857472804363328	0.995293594176065	4.32712437137945	-0.939324701700928	-0.072422268486072	-10.3281802109951	111148930.54	64.887434	0.570064151404107	0.564712959218116	-6.72620901858236	0	0	0	0	0	0	1	0	0	0 #CXCE11B
135 93.25	2337.0	0.82	0.863430557018006	2.57865679377979	5.07281508081928	9.91565280969117	0.859552264593265	0.845469180136547	0.826304400807598	4.25648855020704	-0.388084749318229	0.471994965387035	-0.819020631967216	584193098.84	101.62478	0.9175911623129713	0.806889815653229	-0.581579210322258	0	0	0	1	0	0	0	0	0	0 #GALG11
136 79.48	77.0	0.69	0.8625	2.36723368919543	4.56795374597181	9.04919986604941	0.789077896398475	0.761325624328636	0.754099988837451	3.81486732621873	0.012501562695344	0.875109388673612	5.85830055565846	213265274.29	101.612957	0.7821837130475399	0.679047259691498	-0.751407482536171	0	0	0	0	0	0	0	0	1	0 #VSHO11
137 63.0	110.0	0.55	0.861124158446845	2.47159666511837	4.79935632479502	8.36943973932691	0.823865555039456	0.79989272079917	0.697453311610576	3.99526275754356	-0.171928727727411	0.687714910909665	-3.7188865248967	132926744.2	84.357227	0.746823979882601	0.651989188786398	-1.17819704283724	0	0	0	1	0	0	0	0	0	0 #CXRI11
138 71.15	4993.0	0.62	0.860752464251006	2.48065791567495	4.89981183459863	9.61757060110213	0.826885971891648	0.816635305766438	0.801464216758511	4.09461702940383	-9.16771752837326	-8.3858764186633	-4.58089879494576	150528092.96	100.312071	0.7092865224565048	0.6180711790907	0.0553819193473748	0	0	0	0	0	0	0	1	0	0 #JFLL11
139 98.92	13036.0	0.85	0.860323886639676	2.46393539172249	4.93669795475114	9.27442531212029	0.821311797240831	0.822782992458523	0.772868776010024	4.04622600461757	-1.1208967173739	-0.270216172938342	1.44268422037519	708147194.5	97.745474	1.0120161676232702	0.869605481681945	-1.00380911431212	0	0	0	0	0	0	1	0	0	0 #TRXF11
140 76.63	5528.0	0.68	0.853413654618474	2.59008094061542	5.07737591808669	9.54181777613199	0.863360313538472	0.846229319681114	0.795151481344332	4.29129344385988	-0.524344569288371	0.324594257178545	9.39028288628412	431804707.84	95.251424	0.8045024082789565	0.713900088254849	-0.248244633600725	0	0	0	0	0	0	0	0	0	1 #KFOF11
141 98.49	10324.0	0.83	0.852156057494866	2.51083185764583	5.07533194562767	9.53348155344787	0.836943952548609	0.845888657604612	0.794456796120656	3.35954817421702	-2.23828164207567	-1.40519923717755	6.84665078811997	620294632.17	103.680763	0.9499351388839605	0.800534232179599	0.512968152087723	0	0	0	0	0	0	1	0	0	0 #BTAL11
